lon,lat,square,cost,category,street,ward,district,city,url
10.73375,106.68962,53,"1,9",can-ho-ban-chung-cu-3529,Đường số 9A Bình Hưng ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/so-huu-ngay-can-ho-cao-cap-kdc-trung-son-chi-voi-1-6325726
10.82310,106.62966,49,"1,8",can-ho-ban-chung-cu-cao-cap-3530, ,Thị Trấn An Lạc,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/suat-20-can-view-dep-nhat-saigon-mia-chiet-khau-3-6041806
10.73375,106.68962,53,"1,9",can-ho-ban-chung-cu-3529,Đường số 9A Bình Hưng ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/saigonmia-sap-hoan-thanh-thi-truong-bien-dong-khi-6327973
10.86004,106.73788,118,"2,6",nha-ban-nha-pho-3535, ,Phường Tam Phú,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-gap-can-nha-duong-so-4-phuong-tam-phu-quan-5737243
14.37565,107.99578,200,330,dat-ban-dat-tho-cu-3532, ,Phường Duy Tân,Kon Tum,Kon Tum,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/dat-khu-bien-phong-tinh-kontum-gia-350-trieu-200m2-4776249
10.84800,106.74560,52,"3,5",nha-ban-nha-pho-3535,"ĐườngLinh Đông , Thủ Đức ",Phường Linh Ðông,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chinh-chu-can-tien-ban-gap-nha-moi-xay-dep-duong-l-6142215
14.37565,107.99578,100,280,dat-ban-dat-tho-cu-3532, ,Phường Duy Tân,Kon Tum,Kon Tum,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/dat-khu-bien-phong-tinh-kon-tum-gia-chi-280trieu-4813884
0.0,0.0,150,"3,25",nha-ban-nha-pho-3535,"Đường Tô Ngọc Vân. Tam Bình, Q. Thủ Đức ",Phường Tam Bình,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/mo-ban-khu-nha-pho-cao-cap-1tr-3-lau-vi-tri-dep-gi-6152045
14.37565,107.99578,200,330,dat-ban-dat-tho-cu-3532, ,Phường Duy Tân,Kon Tum,Kon Tum,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/dat-trung-tam-t-p-kon-tum-200m2-gia-chi-330tr-4793842
21.01982,105.88605,200,"4,6",dat-ban-dat-tho-cu-3532,TL195 ,Phường Long Biên,Quận Long Biên,TP.Hà Nội,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/nqsd-200-m2-dat-tai-thach-cau-quan-long-bien-hn-4279579
14.37565,107.99578,144,450,dat-ban-dat-tho-cu-3532, ,Phường Duy Tân,Kon Tum,Kon Tum,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-tran-phu-noi-dai-tho-cu-100-4886708
13.99079,108.01464,380,"1,6",dat-ban-dat-tho-cu-3532,"140 Đường Tôn Thất Thuyết, P Hoa Lư, TP Pleiku ",Phường Hoa Lư,Thành phố Pleiku,Gia Lai,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-phong-tro-ton-that-thuyet-p-hoa-lu-4933821
13.99079,108.01464,370,900,dat-ban-dat-tho-cu-3532, ,Phường Hoa Lư,Thành phố Pleiku,Gia Lai,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-tho-cu-2-mat-tien-hem-ngo-tat-to-gia-900-t-6274978
13.98518,108.01137,104,675,dat-ban-dat-tho-cu-3532,Ama Quang Hoa Lư ,Phường Hoa Lư,Thành phố Pleiku,Gia Lai,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-hem-xe-hoi-ama-quang-re-oi-la-re-chi-150-t-6288866
13.98518,108.01137,103,675,dat-ban-dat-tho-cu-3532,Ama Quang Hoa Lư ,Phường Hoa Lư,Thành phố Pleiku,Gia Lai,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-hem-xe-hoi-31-amaquang-thoang-mat-thich-ho-6288575
14.03219,108.02188,8000,3,dat-ban-dat-tho-cu-3532,Hẻm 185 ngô quyền thôn 1  ,Xã Biển Hồ,Thành phố Pleiku,Gia Lai,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-8000m2-co-400m2-dat-o-tai-thon-1-bien-ho-5552293
10.78544,106.62880,80,"5,7",dat-ban-dat-tho-cu-3532, ,Phường Phú Thọ Hoà,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/can-ban-nha-mt-duong-khu-pho-thuong-mai-trung-tam-6014853
10.81917,106.53676,250,680,dat-ban-dat-tho-cu-3532, ,Xã Phạn Văn Hai,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/gia-dinh-toi-can-ban-gap-2-manh-dat-250m2-gia-680t-6278128
10.68745,106.60807,100,290,dat-ban-dat-tho-cu-3532, ,Xã An Phú Tây,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/dat-mat-lo-gia-4tr-m-da-co-so-gan-binh-chanh-mo-ba-6211377
10.94828,106.86548,100,"2,4",dat-ban-dat-tho-cu-3532,Đồng Khởi Tam Hòa ,Phường Tam Hòa,Thành phố Biên Hòa,Đồng Nai,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/lo-dat-o-100m2-co-nha-cap-4-4x25m-ben-hong-benh-vi-6146930
10.79148,106.63456,1524,41,dat-ban-dat-tho-cu-3532,thống nhất ,Phường Tân Thành,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/dat-mt-thong-nhat-p-tan-thanh-tan-phu-dt-1524m2-da-6292333
10.04152,104.01947,150,180,dat-ban-dat-tho-cu-3532, ,Thị Trấn An Thới,Huyện Phú Quốc,Kiên Giang,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-180-150m2-cam-ket-ban-dung-gia-6101427
0.0,0.0,75,370,dat-ban-dat-tho-cu-3532,Đồng Khởi ,Phường Tân Phong,Thành phố Biên Hòa,Đồng Nai,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-so-hong-duong-dong-khoi-tp-bien-hoa-4296237
10.79523,106.62174,60,4,dat-ban-dat-tho-cu-3532, ,Phường Tân Quý,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/thanh-ly-gap-lo-dat-nen-2-mat-tien-duong-tan-huong-6328955
10.69909,106.65221,100,450,dat-ban-dat-tho-cu-3532, ,Xã Phong Phú,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/dat-ban-dat-tho-cu-3532/ban-dat-nen-kdc-pho-cho-phong-phu-chi-voi-450-000-6270448
21.06340,105.86225,200,600,mat-bang-ban-mat-bang-ban-le-3539,"Nguyễn Văn Linh, Long Biên, Hà Nội ",Phường Việt Hưng,Quận Long Biên,TP.Hà Nội,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/sang-nhuong-san-truot-bang-nhap-khau-chau-au-4514285
10.72564,106.72489,100,850,mat-bang-ban-mat-bang-ban-le-3539,M3 Nguyễn Lương Bằng ,Phường Tân Phú,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/xuat-canh-can-sang-gap-tiem-banh-va-coffee-quan-7-4188027
10.79433,106.63974,103,"3,2",can-ho-ban-chung-cu-3529, ,Phường 14,Quận Tân Bình,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-thuong-mai-mat-tien-au-co-103m2-3-2-ty-5820768
10.79964,106.68967,100,12,mat-bang-ban-mat-bang-ban-le-3539,"Hoa Sua, Phan Xich Long ",Phường 07,Quận Phú Nhuận,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/can-ban-khach-san-mt-hoa-sua-doanh-thu-100tr-thang-4514956
10.79433,106.63974,68,"1,35",can-ho-ban-chung-cu-cao-cap-3530,16 Âu Cơ ,Phường 14,Quận Tân Bình,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-chcc-ngay-mat-tien-duong-au-co-4110619
10.80951,106.67444,33,"3,05",mat-bang-ban-mat-bang-ban-le-3539,8 Hoàng Minh Giám ,Phường 09,Quận Phú Nhuận,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-gap-lo-shophouse-garden-gate-33m2-gia-chi-3-05-6279339
10.79433,106.63974,50,"1,5",can-ho-ban-chung-cu-3529, ,Phường 14,Quận Tân Bình,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/centa-park-4-mat-tien-khu-bau-cat-tan-binh-1-5-ty-6316226
10.72564,106.72489,120,"4,8",can-ho-ban-chung-cu-cao-cap-3530,Nguyễn Lương Bằng Quận 7 ,Phường Tân Phú,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-gap-can-ho-cao-cap-tai-khu-canh-vien-3-phu-my-6145747
10.79175,106.64394,60,"1,8",can-ho-ban-chung-cu-cao-cap-3530,Bàu Cát Tân Bình ,Phường 05,Quận Tân Bình,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-dang-gay-bao-so-huu-4-mat-tien-quan-tan-bin-6323736
10.79433,106.63974,65,"1,495",can-ho-ban-chung-cu-3529,678 ,Phường 14,Quận Tân Bình,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/du-an-dep-nhat-4-mat-tien-duong-ngay-tt-tan-binh-t-6298466
10.72564,106.72489,95,"5,5",mat-bang-ban-mat-bang-van-phong-3538,Đường C Tân Phú ,Phường Tân Phú,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-van-phong-3538/can-ban-lo-can-shop-canh-vien-3-phu-my-hung-q7-4225944
10.80863,106.67910,500,500,mat-bang-ban-mat-bang-ban-le-3539, ,Phường 04,Quận Phú Nhuận,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/sang-mat-bang-nha-nguyen-can-500m2-5242567
10.80121,106.65062,60,"1,99",can-ho-ban-chung-cu-3529,đường Đồng Đen ,Phường 12,Quận Tân Bình,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ch-1-99-ty-4-mat-tien-duong-dong-den-q-tan-binh-ga-6319160
10.72564,106.72489,118,"4,3",can-ho-ban-chung-cu-cao-cap-3530, ,Phường Tân Phú,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ban-gap-can-ho-cao-cap-canh-vien-3-phu-my-hung-4215467
10.79175,106.64394,60,"1,8",can-ho-ban-chung-cu-cao-cap-3530,Bàu Cát Tân Bình ,Phường 06,Quận Tân Bình,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/qua-soc-can-ho-4-mat-tien-duy-nhat-quan-tan-binh-n-6323831
10.75614,106.73623,75,"2,1",can-ho-ban-chung-cu-cao-cap-3530,210 Bùi Văn Ba ,Phường Tân Thuận Ðông,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-ch-cao-cap-lien-ke-q1-jamona-heights-6126897
10.79628,106.63805,110,"3,1",mat-bang-ban-mat-bang-ban-le-3539,16 Âu Cơ ,Phường Tân Sơn Nhì,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/can-ban-shop-110m2-tret-va-lung-duong-au-co-5208844
10.76423,106.75930,48,"1,5",can-ho-ban-chung-cu-cao-cap-3530,Đường Quách Giai Thạnh Mỹ Lợi ,Phường Thạnh Mỹ Lợi,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/mo-ban-can-ho-cao-cap-ven-song-ngay-kdt-sala-1-5-t-6307102
10.78929,106.63713,5,190,mat-bang-ban-mat-bang-ban-le-3539,Ngã 3 Âu Cơ -Nguyễn Hồng Đào ,Phường Tân Thành,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-ki-ot-trong-khu-thuong-mai-gia-tu-190-trieu-5080902
10.77188,106.76349,64,"1,68",can-ho-ban-chung-cu-cao-cap-3530,125 Đồng Văn Cống ,Phường Thạnh Mỹ Lợi,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ban-can-ho-the-cbd-q2-tang-9-view-ho-boi-gia-1-6078608
10.75614,106.73623,72,"2,1",can-ho-ban-chung-cu-3529,210 Bùi Văn Ba ,Phường Tân Thuận Ðông,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-q7-ngam-tron-view-dep-q1-q4-thanh-toan-tot-6233649
10.73856,106.71222,68,"1,7",can-ho-ban-chung-cu-cao-cap-3530,Nguyễn Thị Thập Quận 7 ,Phường Bình Thuận,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-the-golden-star-cao-cap-2pn-voi-gia-1-7-ty-6307110
10.77188,106.76349,63,"8,5",can-ho-cho-thue-chung-cu-3550,Đồng Văn Cống ,Phường Thạnh Mỹ Lợi,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-3550/cho-thue-can-ho-quan-2-cbd-chi-7tr-thang-2pn-2wc-g-5973962
10.79847,106.62961,105,3,mat-bang-ban-mat-bang-ban-le-3539,số 16 đường Âu Cơ ,Phường Tân Sơn Nhì,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/3-ty-can-shophouse-trong-da-melody-residences-3983697
10.74466,106.72363,56,"1,8",can-ho-ban-chung-cu-cao-cap-3530, ,Phường Bình Thuận,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/nhuong-lai-can-ho-1pn-va-11pn-the-golden-star-quan-6314168
10.73791,106.72646,65,"1,885",can-ho-ban-chung-cu-3529,72 Nguyễn Thị Thập ,Phường Bình Thuận,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/co-nen-mua-can-ho-nam-gan-lotte-mart-voi-tien-ich-6322961
10.77188,106.76349,80,"2,15",can-ho-ban-chung-cu-3529,Đồng Văn Cống Quận 2 ,Phường Thạnh Mỹ Lợi,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-gap-can-ho-3pn-ngay-trung-tam-quan-2-nhan-6204951
10.77188,106.76349,81,7,can-ho-cho-thue-chung-cu-3550, ,Phường Thạnh Mỹ Lợi,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-3550/cho-thue-can-ho-chung-cu-the-cbd-quan-2-gia-7tr-th-6112595
10.79847,106.62961,105,4,mat-bang-ban-mat-bang-ban-le-3539,16 ÂU CƠ ,Phường Tân Sơn Nhì,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/can-ho-shop-tai-tang-tret-cua-du-an-dien-tich-105-4306137
10.74466,106.72363,56,"1,76",can-ho-ban-chung-cu-cao-cap-3530,"Khu căn hộ The Golden Star Hưng Phát - Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, TP Hồ Chí M ",Phường Bình Thuận,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-hung-phat-golden-star-q7-canh-phu-my-hung-v-6255176
10.74466,106.72363,51,"1,46",can-ho-ban-chung-cu-3529,72 Nguyễn Thị Thập ,Phường Bình Thuận,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-hung-phat-golden-star-q7-canh-phu-my-hung-6310837
20.99367,105.86943,83,"2,8",can-ho-ban-chung-cu-3529,458 Minh Khai ,Phường Vĩnh Tuy,Quận Hai Bà Trưng,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/sieu-hat-de-voi-can-ho-83m-2pn-sang-t11-times-city-6316977
0.0,0.0,68,"2,1",can-ho-ban-chung-cu-cao-cap-3530,Nguyễn Thị Thập Quận 7 ,Phường Bình Thuận,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-quan-7-golden-star-68m2-2pn-2wc-gia-2-1-ty-6252789
20.99367,105.86943,53,"1,82",can-ho-ban-chung-cu-3529,458 Minh Khai ,Phường Vĩnh Tuy,Quận Hai Bà Trưng,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-ban-can-ho-53m2-tang-trung-t8-times-city-6326680
16.05983,108.23196,93,"2,1",can-ho-ban-chung-cu-cao-cap-3530, ,Phường An Hải Tây,Quận Sơn Trà,TP.Đà Nẵng,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/nhanh-tay-so-huu-ngay-can-ho-cao-cap-monarchy-view-6163984
20.96409,105.87203,66,"1,2",can-ho-ban-chung-cu-cao-cap-3530,727 Tam Trinh ,Phường Yên Sở,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/chung-cu-cao-cap-gelexia-gia-chi-1-2-ty-5568631
20.99482,105.86831,73,"2,82",can-ho-ban-chung-cu-3529,458 Minh Khai ,Phường Bạch Đằng,Quận Hai Bà Trưng,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-73m2-2pn-re-nhat-park-hill-times-city-bao-p-6319194
10.76451,106.74686,100,680,can-ho-ban-chung-cu-3529,Xa lộ Hà Nội An Phú ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ba-gia-tri-vang-tao-nen-su-khac-biet-cua-du-an-mas-6315297
16.05983,108.23196,89,4,can-ho-ban-chung-cu-cao-cap-3530, ,Phường An Hải Tây,Quận Sơn Trà,TP.Đà Nẵng,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/so-huu-ngay-can-ho-shophouse-monarchy-mua-1-nhan-2-6179105
20.99367,105.86943,74,"2,6",can-ho-ban-chung-cu-3529,458 Minh Khai ,Phường Vĩnh Tuy,Quận Hai Bà Trưng,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/vo-cung-re-nha-cuc-moi-voi-can-ho-94m2-tang-trung-6319202
21.01402,105.86528,118,"4,55",can-ho-ban-chung-cu-cao-cap-3530,458 Minh Khai ,Phường Bạch Đằng,Quận Hai Bà Trưng,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/so-huu-can-ho-118m2-3pn-park-hill-times-city-full-6166859
20.97410,105.82387,54,930,can-ho-ban-chung-cu-3529,Nguyễn Xiển Việt Nam ,Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-gap-nha-chinh-chu-can-so-8-54m2-gia-930tr-ct12-6182374
16.05983,108.23196,89,4,can-ho-ban-chung-cu-cao-cap-3530, ,Phường An Hải Tây,Quận Sơn Trà,TP.Đà Nẵng,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-nhanh-can-ho-shophouse-monarchy-mua-1-nhan-2-s-6229450
20.97410,105.82387,53,"1,06",can-ho-ban-chung-cu-3529, ,Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-tang-24-ct12-kim-van-kim-lu-53m2-6094222
20.98484,105.80835,60,"1,3",can-ho-ban-chung-cu-3529,Nguyễn Xiển Hà Nội ,Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-truc-tiep-nha-chinh-chu-can-1804-ct11-kim-van-6327303
20.96409,105.87203,70,"1,4",can-ho-ban-chung-cu-3529,"885 Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội ",Phường Yên Sở,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/song-phu-quy-huong-thanh-binh-gelexia-riveside-5172767
16.07005,108.22892,73,"1,6",can-ho-ban-chung-cu-cao-cap-3530,Trần Hưng Đạo Nại Hiên Đông ,Phường An Hải Tây,Quận Sơn Trà,TP.Đà Nẵng,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/ban-can-ho-monarchy-da-nang-view-song-han-tho-mong-5921347
20.98484,105.80835,54,"1,06",can-ho-ban-chung-cu-3529,Nguyễn Xiển Hà Nội ,Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/nha-ban-gap-can-ho-2716-ct12c-kim-van-kim-lu-gia-1-6312723
10.76451,106.74686,70,"1,8",can-ho-ban-chung-cu-cao-cap-3530, ,Phường An Phú,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/masteri-an-phu-su-lua-chon-tot-nhat-cho-gia-dinh-b-6270135
20.96409,105.87203,54,"1,4",can-ho-ban-chung-cu-3529,"km 4,4 Pháp vân, Hoàng Mai, Hà Nội ",Phường Yên Sở,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-chung-cu-tai-quan-hoang-mai-54m2-gia-ch-6296237
20.97410,105.82387,74,"1,8",can-ho-ban-chung-cu-3529," Eco Lake View - 32 Đại Từ, Đại Kim, Hoàng Mai, HN. Phòng 811B tòa HH02. ",Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-cat-lo-can-ho-chung-cu-du-an-eco-lake-view-6315140
20.97410,105.82387,73,"1,8",can-ho-ban-chung-cu-3529,đường Nguyễn Cảnh Dị ,Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/uu-dai-ck-2-5-ls-0-can-ho-chung-cu-smile-building-6319083
20.97410,105.82387,70,"1,54",can-ho-ban-chung-cu-3529,"Số 32 Đại Từ, Đại Kim, Hoàng Mai, Hà Nội ",Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chung-cu-eco-lake-view-truc-tiep-cdt-chiet-khau-ng-6317458
10.80758,106.60452,64,"1,13",can-ho-ban-chung-cu-cao-cap-3530,Văn Cao Ho Chi Minh City ,Phường Bình Hưng Hoà,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-gia-re-gia-1-1ty-can-ck-thanh-toan-18-5110878
