lon,lat,square,cost,category,street,ward,district,city,date_created,date_modified,url
10.72051,106.62091,68,Secret,can-ho-ban-chung-cu-3529,An Dương Vương Hồ Chí Minh ,Phường 16,Quận 8,TP.Hồ Chí Minh,08.10.2017,08.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-thuc-nhan-giu-cho-block-b-block-dep-nhat-du-5920748
15.98965,108.26733,41,720,can-ho-ban-chung-cu-cao-cap-3530,Trường Sa Ngũ Hành Sơn ,Phường Hoà Hải,Quận Ngũ Hành Sơn,TP.Đà Nẵng,10.10.2017,10.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/coco-wonderland-xu-so-than-tien-doc-nhat-tai-cocob-6275554
10.72051,106.62091,50,900,can-ho-ban-chung-cu-3529, ,Phường 16,Quận 8,TP.Hồ Chí Minh,07.10.2017,07.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-1-ty-ck-4-heaven-cityview-block-dep-nhat-du-6280824
20.97410,105.82387,104,Secret,can-ho-ban-chung-cu-3529, ,Phường Đại Kim,Quận Hoàng Mai,TP.Hà Nội,08.10.2017,08.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-chung-cu-toa-nha-licogi-12-pho-dai-tu-5721561
15.96924,108.28268,45,720,can-ho-ban-chung-cu-cao-cap-3530,Trường Sa Ngũ Hành Sơn ,Phường Hoà Hải,Quận Ngũ Hành Sơn,TP.Đà Nẵng,20.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ban-can-ho-khach-san-condotel-cocobay-gia-chi-6327937
10.72051,106.62091,50,Secret,can-ho-ban-chung-cu-3529, ,Phường 16,Quận 8,TP.Hồ Chí Minh,22.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/hot-can-ho-ngay-trung-tam-quan-8-suat-noi-bo-gia-c-6268466
10.74309,106.64764,17,Secret,mat-bang-ban-mat-bang-ban-le-3539, ,Phường 03,Quận 6,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-mat-bang-kinh-doanh-mat-tien-vo-van-kiet-cho-l-6085662
15.98965,108.26733,45,Secret,can-ho-ban-chung-cu-cao-cap-3530,"Đường Trường Sa, Quận Ngũ Hành Sơn, TP Đà Nẵng ",Phường Hoà Hải,Quận Ngũ Hành Sơn,TP.Đà Nẵng,06.10.2017,06.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/thuc-hu-cocobay-da-nang-bo-ra-hon-trieu-sinh-loi-k-6199010
21.02804,105.77163,64,Secret,can-ho-ban-chung-cu-cao-cap-3530,"Số 99 Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội ",Phường Mỹ Đình 2,Quận Nam Từ Liêm,TP.Hà Nội,20.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/the-garden-hill-ngay-trung-tam-my-dinh-chiet-khau-5839060
10.79788,106.67878,60,989,can-ho-ban-chung-cu-cao-cap-3530,Trường Chinh ,Phường 15,Quận Tân Bình,TP.Hồ Chí Minh,20.10.2017,20.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/chuan-bi-cong-bo-du-an-moi-vi-tri-dep-gia-soc-5130108
